InputID,TargetID,Distance
n89911213,"1",250886.766388256
n89911213,"0",250886.766388256
n89914533,"1",248043.694345153
n89914533,"0",248043.694345153
n89973052,"1",258184.060413785
n89973052,"0",258184.060413785
n89999997,"1",257520.28149791
n89999997,"0",257520.28149791
n90289208,"0",114661.750552462
n90289208,"1",114661.750552462
n90331498,"1",115281.292048968
n90331498,"0",115281.292048968
n90411502,"1",94542.3735292177
n90411502,"0",94542.3735292177
n90460534,"1",94612.5574518928
n90460534,"0",94612.5574518928
n90475290,"1",105852.467451543
n90475290,"0",105852.467451543
n90481041,"0",121291.482579943
n90481041,"1",121291.482579943
n90763661,"1",119047.91710316
n90763661,"0",119047.91710316
n90763666,"1",119011.823293077
n90763666,"0",119011.823293077
n90769920,"1",119601.654194677
n90769920,"0",119601.654194677
n90774152,"1",119412.389873173
n90774152,"0",119412.389873173
n90775456,"1",124145.102899715
n90775456,"0",124145.102899715
n90792619,"1",118691.960303843
n90792619,"0",118691.960303843
n90797363,"1",124283.975089238
n90797363,"0",124283.975089238
n90805545,"1",129400.240201892
n90805545,"0",129400.240201892
n90858827,"1",128739.068992433
n90858827,"0",128739.068992433
n90888035,"1",121305.923467763
n90888035,"0",121305.923467763
n90894247,"1",119719.913239778
n90894247,"0",119719.913239778
n90894249,"1",119401.569546162
n90894249,"0",119401.569546162
n90894252,"1",118786.897535418
n90894252,"0",118786.897535418
n90894260,"1",118338.798600916
n90894260,"0",118338.798600916
n90934069,"1",118629.338783957
n90934069,"0",118629.338783957
n90943110,"1",129335.312214908
n90943110,"0",129335.312214908
n90943112,"1",129334.472396855
n90943112,"0",129334.472396855
n90943117,"1",129167.626274845
n90943117,"0",129167.626274845
n90945500,"1",124155.519089147
n90945500,"0",124155.519089147
n90946530,"1",132422.327678
n90946530,"0",132422.327678
n90987638,"1",124151.145702262
n90987638,"0",124151.145702262
n91472538,"0",272167.163459961
n91472538,"1",272167.163459961
n91726835,"0",269645.144424203
n91726835,"1",269645.144424203
n92666221,"1",115741.42597597
n92666221,"0",115741.42597597
n92690876,"1",113855.912913802
n92690876,"0",113855.912913802
n92706819,"1",111416.036719667
n92706819,"0",111416.036719667
n92729974,"1",112998.72852583
n92729974,"0",112998.72852583
n92730389,"1",112495.754032659
n92730389,"0",112495.754032659
n92730789,"1",113449.987909398
n92730789,"0",113449.987909398
n92735878,"1",128171.289550384
n92735878,"0",128171.289550384
n92790262,"1",110929.405882425
n92790262,"0",110929.405882425
n92790267,"1",111752.378364359
n92790267,"0",111752.378364359
n92790272,"1",112416.339542979
n92790272,"0",112416.339542979
n92790275,"1",112712.12518512
n92790275,"0",112712.12518512
n92790276,"1",112742.230623854
n92790276,"0",112742.230623854
n92790287,"1",114058.739956893
n92790287,"0",114058.739956893
n92790334,"1",114775.577679244
n92790334,"0",114775.577679244
n92790335,"1",114902.702338962
n92790335,"0",114902.702338962
n92833328,"0",97789.9636548577
n92833328,"1",97789.9636548577
n94319682,"0",9904.5493038755
n94319682,"1",9904.5493038755
n94437063,"0",12381.6970887379
n94437063,"1",12381.6970887379
n95449269,"0",313358.970383367
n95449269,"1",313358.970383367
n95485134,"0",297572.20187221
n95485134,"1",297572.20187221
n95500612,"0",303305.545595471
n95500612,"1",303305.545595471
n95558731,"0",308769.532476531
n95558731,"1",308769.532476531
n95560248,"0",311761.037307558
n95560248,"1",311761.037307558
n96885398,"0",299522.246764525
n96885398,"1",299522.246764525
n100571506,"1",201908.051417115
n100571506,"0",201908.051417115
n122623758,"0",344103.401582258
n122623758,"1",344103.401582258
n122679983,"0",308470.179256311
n122679983,"1",308470.179256311
n122679987,"0",308212.298985628
n122679987,"1",308212.298985628
n122684046,"0",353229.498492293
n122684046,"1",353229.498492293
n122685018,"0",324948.063185786
n122685018,"1",324948.063185786
n122697141,"0",338885.913168028
n122697141,"1",338885.913168028
n122748719,"0",320877.013307412
n122748719,"1",320877.013307412
n122748721,"0",320832.460897212
n122748721,"1",320832.460897212
n122924307,"0",354007.212992338
n122924307,"1",354007.212992338
n123031719,"0",324464.091828068
n123031719,"1",324464.091828068
n123058487,"0",324426.734614966
n123058487,"1",324426.734614966
n123101914,"0",324420.286237577
n123101914,"1",324420.286237577
n123101916,"0",324413.816696514
n123101916,"1",324413.816696514
n123101921,"0",324406.8921084
n123101921,"1",324406.8921084
n123196306,"0",324916.596664711
n123196306,"1",324916.596664711
n123201252,"0",320888.79652698
n123201252,"1",320888.79652698
n123614060,"0",323704.048909402
n123614060,"1",323704.048909402
n130219020,"1",78228.8111853999
n130219020,"0",78228.8111853999
n140450337,"1",44747.8393787041
n140450337,"0",44747.8393787041
n141029389,"0",165685.337186203
n141029389,"1",165685.337186203
n141030223,"1",188852.600004688
n141030223,"0",188852.600004688
n141030472,"0",95612.3048763699
n141030472,"1",95612.3048763699
n141032712,"1",111377.737673223
n141032712,"0",111377.737673223
n141032858,"0",95650.1002276066
n141032858,"1",95650.1002276066
n141034768,"0",174706.967132568
n141034768,"1",174706.967132568
n141039261,"1",219241.713141385
n141039261,"0",219241.713141385
n141043535,"1",62519.8273268847
n141043535,"0",62519.8273268847
n141046100,"1",98401.4063251749
n141046100,"0",98401.4063251749
n141046296,"0",91255.0241674422
n141046296,"1",91255.0241674422
n147131677,"0",53501.1188771248
n147131677,"0",53501.1188771248
n147131677,"1",53501.1188771248
n147131677,"1",53501.1188771248
n150932281,"0",314111.020195263
n150932281,"1",314111.020195263
n150934574,"1",239170.095676538
n150934574,"0",239170.095676538
n150936809,"1",146326.521114672
n150936809,"0",146326.521114672
n150938195,"1",209754.457452056
n150938195,"0",209754.457452056
n150938628,"1",116275.175740338
n150938628,"0",116275.175740338
n150938939,"1",224032.424864011
